date,VIX,SPY,HYG,TLT,GLD,CPER
2013-01-02,14.680000305175781,116.29170989990234,45.94469451904297,82.62310791015625,163.1699981689453,26.010000228881836
2013-01-03,14.5600004196167,116.02896118164062,45.80332946777344,81.50358581542969,161.1999969482422,25.93000030517578
2013-01-04,13.829999923706055,116.53849792480469,45.83258819580078,81.82145690917969,160.44000244140625,25.760000228881836
2013-01-07,13.789999961853027,116.22006225585938,45.87158966064453,81.85601806640625,159.42999267578125,25.600000381469727
2013-01-08,13.619999885559082,115.88558197021484,45.83744430541992,82.39507293701172,160.55999755859375,25.600000381469727
2013-01-09,13.8100004196167,116.18028259277344,45.925209045410156,82.31900787353516,160.49000549316406,25.600000381469727
2013-01-10,13.489999771118164,117.10386657714844,46.003196716308594,82.09098052978516,161.97999572753906,25.600000381469727
2013-01-11,13.359999656677246,117.09585571289062,46.08610153198242,82.82352447509766,161.05999755859375,25.5
2013-01-14,13.520000457763672,117.01622772216797,46.02271270751953,82.59546661376953,161.5399932861328,25.5
2013-01-15,13.550000190734863,117.09585571289062,46.032493591308594,82.97550964355469,162.55999755859375,25.5
2013-01-16,13.420000076293945,117.07991790771484,45.954463958740234,83.1482925415039,162.64999389648438,25.200000762939453
2013-01-17,13.569999694824219,117.8363265991211,46.120243072509766,82.31900787353516,163.35000610351562,25.530000686645508
2013-01-18,12.460000038146973,118.09900665283203,46.183631896972656,82.9548110961914,163.08999633789062,25.65999984741211
2013-01-22,12.430000305175781,118.73603057861328,46.212886810302734,83.1137924194336,163.6699981689453,25.84000015258789
2013-01-23,12.460000038146973,118.92713165283203,46.1592903137207,82.98931121826172,163.2100067138672,25.760000228881836
2013-01-24,12.6899995803833,118.95893859863281,46.261653900146484,82.69912719726562,161.4199981689453,25.6200008392334
2013-01-25,12.890000343322754,119.62773895263672,46.247013092041016,81.5657730102539,160.64999389648438,25.459999084472656
2013-01-28,13.569999694824219,119.48440551757812,46.222652435302734,81.26863861083984,160.2899932861328,25.579999923706055
2013-01-29,13.3100004196167,119.95418548583984,46.14461898803711,80.8194580078125,160.99000549316406,25.75
2013-01-30,14.319999694824219,119.48440551757812,45.813087463378906,80.68123626708984,162.19000244140625,26.15999984741211
2013-01-31,14.279999732971191,119.18986511230469,45.67167663574219,81.07514953613281,161.1999969482422,26.15999984741211
2013-02-01,12.899999618530273,120.4159927368164,45.82314682006836,80.0223617553711,161.4499969482422,26.3799991607666
2013-02-04,14.670000076293945,119.06243896484375,45.631961822509766,81.04742431640625,162.0,26.309999465942383
2013-02-05,13.720000267028809,120.2646713256836,45.734901428222656,80.32711791992188,161.9600067138672,26.290000915527344
2013-02-06,13.40999984741211,120.3523178100586,45.666282653808594,80.9850845336914,162.38999938964844,26.290000915527344
2013-02-07,13.5,120.19303131103516,45.57805252075195,80.80500030517578,161.83999633789062,25.979999542236328
2013-02-08,13.020000457763672,120.8618392944336,45.587860107421875,81.11660766601562,161.57000732421875,25.979999542236328
2013-02-11,12.9399995803833,120.83800506591797,45.58294677734375,81.05436706542969,159.6999969482422,25.979999542236328
2013-02-12,12.640000343322754,121.03697204589844,45.73980712890625,80.85348510742188,159.88999938964844,26.0
2013-02-13,12.979999542236328,121.1404800415039,45.80841064453125,80.19551849365234,159.0500030517578,26.15999984741211
2013-02-14,12.65999984741211,121.25198364257812,45.78882598876953,80.9227294921875,158.35000610351562,26.15999984741211
2013-02-15,12.460000038146973,121.10867309570312,45.793704986572266,80.68724822998047,155.75999450683594,26.020000457763672
